"id","category_slug","old_alt","new_title","new_alt","status"
"19","graduation","DSC02372 2 4d0ec006 2500.jpg","Legion of Honor Graduation Portrait in San Francisco","Bay Area graduation portrait of a graduate in a white dress and gold sash raising her purple cap at the Legion of Honor.","updated"
"14","graduation","DSC01503 257d99e7 2500.jpg","CSUEB Graduate on Tree-Lined Campus Path | Bay Area Grad Portrait","Bay Area graduation portrait of a CSUEB graduate in a black dress holding her cap, serape stole draped, on a tree-lined path.","updated"
"16","graduation","DSC01883 0f910a68 2500.jpg","SFSU Class of 2025 Graduation Portrait at Bay Area Colonnade","Bay Area graduation portrait of SFSU grad in white dress and gold sash leaning on column, holding decorated cap.","updated"
"21","graduation","DSC02501 fd433fcb 2500.jpg","Stanford Graduate at Fountain - Bay Area Grad Portrait","Smiling Stanford graduate in red dress and sash holds black cap by a fountain at golden hour, Bay Area graduation portrait.","updated"
"22","graduation","DSC02578 0ff4bd38 2500.jpg","Stanford Graduate with Puppy at Fountain | Bay Area Grad Portrait","Bay Area graduation portrait of a smiling Stanford grad in a red satin dress and sash holding her small dog by a fountain.","updated"
"24","graduation","DSC02998 fe396754 2500.jpg","San Jose State University Graduate with Mexican Flag Portrait","Bay Area graduation portrait of a smiling SJSU graduate in a black dress and serape stole holding a Mexican flag on the lawn","updated"
"26","graduation","DSC03096 a8e2f9ef 2500.jpg","First-Generation SJSU Graduate Portrait at Tower Hall | Bay Area","Bay Area graduation portrait of a smiling woman in a white dress and blue First Generation stole holding her cap beneath a","updated"
"28","graduation","DSC03213 2 235adcd1 2500.jpg","UC Berkeley Champagne Pop Graduation Portrait at Campanile","Bay Area graduation portrait of a Berkeley grad in a white dress and blue sash spraying champagne on the lawn near Sather","updated"
"29","graduation","DSC03284 Edit 3 9c3a2572 2500.jpg","UCLA and Stanford Grads Make Silly Faces on Bay Area Garden Path","Two friends in white dresses with UCLA blue and Stanford red sashes point at the camera making playful faces on a","updated"
"33","graduation","DSC04063 1757e9b8 2500.jpg","Bay Area Graduate Walking Up Steps to Meiklejohn Hall","Bay Area graduation portrait of a long-haired graduate climbing concrete steps toward Alexander Meiklejohn Hall, gown slung","updated"
"37","graduation","DSC04510 5d953fbe 2500.jpg","Berkeley Law Graduate Rooftop Portrait | Bay Area Photographer","Berkeley Law graduate in ivory dress and navy stole holds tam on sunlit campus rooftop walkway, Bay Area graduation portrait.","updated"
"36","graduation","DSC04499 2 5a7b9e88 2500.jpg","Touro University Medical Grad Portrait in Cactus Garden | Bay Area","Bay Area graduation portrait of a Touro University medical student in a white coat holding a stethoscope in a cactus garden.","updated"
"38","graduation","DSC04623 3 6a187e36 2500.jpg","USF Nursing Grad Sunset Portrait on Lyon Street Steps","Bay Area graduation portrait of a USF nursing graduate in a black dress and green stole standing on the Lyon Street steps at","updated"
"41","graduation","DSC05388 2 7bd634a4 2500.jpg","Nursing Graduate Twirls Stole at Palace of Fine Arts | SF Portrait","Bay Area graduation portrait of a nursing graduate in white dress with stethoscope, twirling her stole at the Palace of Fine","updated"
"39","graduation","DSC04843 Edit 2 e3677359 2500.jpg","Santa Clara Grad Cheers in Mission Rose Garden | Bay Area","Bay Area graduation portrait of a grad in white dress and red sash raising her cap on a rose-lined mission pathway.","updated"
"42","graduation","DSC05405 980ac4eb 2500.jpg","Berkeley Law Graduation Portrait of Two Friends Hugging | Bay Area","Two friends in white dresses hug and laugh under the Berkeley Law sign during a Bay Area graduation portrait session.","updated"
"43","graduation","DSC05452 3 e51cbec6 2500.jpg","San Jose State Grad Celebrates with Corona Spray | Bay Area Portrait","Bay Area graduation portrait of a smiling SJSU grad in sunglasses and fraternity sash spraying a Corona beer below the San","updated"
"44","graduation","DSC05515 2 5f713f40 2500.jpg","SJSU Gold Confetti Pop Graduation Portrait at Tower Hall","Bay Area graduation portrait of SJSU grad in white dress and blue gold sash popping gold confetti outside Tower Hall","updated"
"45","graduation","DSC05749 3a8544eb 2500.jpg","UC Berkeley Class of 2024 Graduate at Sather Gate | Bay Area Portrait","Bay Area graduation portrait of a UC Berkeley Class of 2024 graduate in white dress and cap leaning on Sather Gate.","updated"
"47","graduation","DSC06594 2 535db052 2500.jpg","Crissy Field Graduation Portrait at Golden Gate Bridge","Bay Area graduation portrait of a woman in a white dress and gold stole standing barefoot on Crissy Field beach with the","updated"
"46","graduation","DSC05887 4dfd16dc 2500.jpg","UC Berkeley Class of 2025 Champagne Pop at Campanile | Bay Area Grad","Berkeley graduate in white dress and blue sash pops champagne on the lawn below the Campanile at golden hour, a Bay Area","updated"
"48","graduation","DSC06711 Edit 2 9571f72a 2500.jpg","Stanford Grad Duo Peace Signs at Main Quad | Bay Area Portraits","Two Stanford graduates in white dresses and red sashes throw peace signs at sunset by the Main Quad arches, Bay Area","updated"
"50","graduation","DSC06735 423502fb 2500.jpg","First Generation Graduate Portrait | Bay Area Session","Bay Area graduation portrait of a woman in a white lace dress holding a blue and gold First Generation stole over her","updated"
"51","graduation","DSC06824 e34f4405 2500.jpg","Joyful Bay Area Graduation Portrait in Colonnade","Bay Area graduation portrait of a smiling grad in a white dress and green sash tossing her cap in a sunlit colonnade.","updated"
"49","graduation","DSC06734 f72318b6 2500.jpg","Bay Area Nursing Graduate Portrait at Waterfall | soloxsnaps","Bay Area graduation portrait of a smiling nursing graduate in a black dress and green Class of 2024 sash by a waterfall.","updated"
"54","graduation","DSC07212 e9824e0a 2500.jpg","USF Graduate Twirls Cap on Palm-Lined Walkway | Bay Area Grad Portrait","Bay Area graduation portrait of a woman in white outfit and green-gold sash playfully holding her cap, palm trees and church","updated"
"53","graduation","DSC07044 1b35ccf9 2500.jpg","USF Nursing Graduate Portrait at Geschke Center | Bay Area","Bay Area graduation portrait of USF BSN nursing graduate in white dress and green stole, seated by bronze wolf statues at","updated"
"52","graduation","DSC06831 0b43fa68 2500.jpg","Nursing Grads Pop Champagne on Bay Area Tree-Lined Trail","Bay Area graduation portrait of two nursing grads in green and red stoles spraying champagne on a sunlit wooded path.","updated"
"56","graduation","DSC07628 d6de01de 2500.jpg","Joyful Bay Area Graduation Portrait with Mickey Ears Grad Cap","Bay Area graduation portrait of a grad in a light blue dress and Mickey ears cap, arms raised on a glass walkway.","updated"
"58","graduation","DSC08332 1147c618 2500.jpg","UC Berkeley Graduate in Library Wingback Chair | Bay Area Portrait","Bay Area graduation portrait of a UC Berkeley graduate in white dress and blue gold sash seated in a leather wingback library","updated"
"59","graduation","DSC08531 1b2f8056 2500.jpg","UC Berkeley Class of 2025 Grads Blow Kisses | Bay Area Portrait","Two UC Berkeley Class of 2025 graduates in white dresses and navy gold sashes blow kisses at a Bay Area graduation portrait","updated"
"60","graduation","DSC08717 b0828008 2500.jpg","UC Berkeley Champagne Spray Graduation Portrait at Campanile","Group of UC Berkeley grads in honor sashes spraying champagne on the lawn below the Campanile, a Bay Area graduation","updated"
"61","graduation","DSC08928 Edit 2 52e522b6 2500.jpg","SJSU Graduate Walking Palm-Lined Campus Path | Bay Area Grad Photos","Bay Area graduation portrait of a woman in a white dress walking away down a palm-lined San Jose State campus path, holding","updated"
"62","graduation","DSC09261 2 11a77001 2500.jpg","SJSU First Generation Grad Portrait in White Rose Garden | Bay Area","Bay Area graduation portrait of a San Jose State University grad in a white dress and blue First Generation sash among white","updated"
"63","graduation","DSC09737 24bfcb78 2500.jpg","UC Law SF Grad with K-pop Lightsticks at City Hall","Bay Area graduation portrait of a smiling UC Law San Francisco grad in cap and gold sash holding K-pop lightsticks at City","updated"
"64","graduation","DSC09809 2 0f0f249d 2500.jpg","UC Berkeley Class of 2025 Shoulder-Sit Grad Portrait at Campanile","Bay Area graduation portrait of a UC Berkeley couple in blue Class of 2025 sashes, woman on man's shoulders on brick path","updated"
"65","graduation","DSC09853 2 0ae17e00 2500.jpg","San Jose State University Graduation Portrait | soloxsnaps","Bay Area graduation portrait of a SJSU grad in a white satin dress and blue 2024 sash beside the San Jose State sign.","updated"
"67","family","DSC00165 8f7398e3 2500.jpg","Bay Area Family Portrait in Eucalyptus Grove at Golden Hour","Bay Area family portrait of a couple laughing together among eucalyptus trees, wearing camel coat and cream jacket in warm","updated"
"68","family","DSC02217 b5237652 2500.jpg","Sunlit Bay Area Family Beach Portrait with Toddler Son","Bay Area family portrait of parents in cream tops holding their smiling toddler son on a sandy beach with coastal bluffs.","updated"
"69","family","DSC02242 bf4b301c 2500.jpg","Bay Area Family Portrait Walking on Sunlit Coastal Beach","Bay Area family portrait of dad holding young son while holding hands with mom in blush skirt on sandy beach at golden hour.","updated"
"70","family","DSC02287 a8693467 2500.jpg","Bay Area Family Beach Portrait with Toddler in Sunlit Sand","Bay Area family portrait of mom, dad and young son in cream tops on sandy beach with coastal bluffs and surf behind them","updated"
"71","family","DSC02380 4bb46907 2500.jpg","Bay Area Beach Family Portrait in Soft Neutral Tones","Bay Area family portrait of parents and toddler son in cream tops and peach skirt standing on sunlit sandy beach with ocean","updated"
"72","family","DSC02417 b903ebf4 2500.jpg","Expecting Mother and Toddler Son Walking Bay Area Beach at Sunset","Bay Area family portrait of an expecting mother in a cream top and blush satin skirt holding her toddler son's hand on a","updated"
"73","family","DSC02437 a82979a4 2500.jpg","Family of Four Holding Hands at Bay Bridge | Bay Area Portrait","Bay Area family portrait of parents and two teen daughters holding hands along the Embarcadero with the Bay Bridge behind","updated"
